"dataset","issue_type","severity","key","n_records","detail"
"assay_qc","pending_manual_review","warning","CP19311_2024-10-11_primary feather normalised_d13c|CP19311_2024-10-11_primary feather normalised_d15n",2,"Some repeated assay sample-isotope pairs remain unresolved and are flagged for manual review."
"museum_metadata","harmonization_summary","info",,50,"Removed museum prefixes from inventory specimen IDs: AJB=46, WAM=4."
"museum_metadata","harmonization_summary","info",,46,"Feather type inferred from Specimen_ID for 46 inventory rows where Feather_type column was missing."
"museum_metadata","invalid_inventory_key","warning","109167|109168|220408|220409|220410|220411|?|A.6697|A.6704|B10099|B12544|B12545|B12546|B12549|B12884|B12885|B13950|B13951|B14363|B20211|B21729|B21730|B21731|B23027|B23123|B30532|B30533|B30534|B30535|B56925|B56926|B56927|B56929|DMNS:Bird:27005|O.20591|O14759|O18704|OR.013071|OR.014779|OR.014780|OR.014781|OR.015472|OR.025787|QVM:1977:2:0079|QVM:1977:2:0080|QVM:1977:2:0081|QVM:1977:2:0082|QVM:1977:2:0083|SKIN 407722|SKIN 736919|SKIN 736924|SKIN 736925|SKIN 736926|SKIN 736927|SKIN 736928|SKIN 736929|SKIN 736930|SKIN 736931|SKIN 736932|SKIN 736933|SKIN 736934|SKIN 736935|SKIN 736936|SKIN 736937|SKIN 736938|SKIN 736939|SKIN 736940|SKIN 736949|SKIN 736951|SKIN 736952|SKIN 736953|SKIN 736954|SKIN 736955|SKIN 736956|SKIN 736957|SKIN 824281",84,"Inventory rows with missing or placeholder specimen_id / feather_type were excluded from canonical metadata."
"museum_metadata","coordinate_location_mismatch_with_checkpoint","warning","15201 Breast",1,"Historical checkpoint coordinates disagree with current inventory specific_collection_location for some specimen_id + feather_type keys."
"museum_metadata","coordinate_date_mismatch_with_checkpoint","warning","15201 Breast",1,"Historical checkpoint coordinates disagree with current inventory collection_date for some specimen_id + feather_type keys."
"museum_triplicate_h","identifier_vs_sia_id_mismatch","warning","AV705_D feather",1,"Triplicate H contains rows where Identifier 1 and SIA ID resolve to different specimen IDs. These rows remain visible in the raw QC table and must be excluded before metadata joins unless assay QC already excludes them."
"museum_batch_cn","harmonization_summary","info",,41,"Batch C/N region harmonization counts: missing->homogenate=31, Shaft->Rachis=5."
"live_cn_measurements","harmonization_summary","info",,1,"Corrected feather label typo 'pimary' -> 'Primary' for 1 live bird assay rows."
